과목명,강사,url
리눅스 커널의 구조와 원리: 인터럽트 후반부 [저자 직강 1부-6],김동현 (Austin Kim),https://www.inflearn.com/course/%EB%A6%AC%EB%88%85%EC%8A%A4-%EC%BB%A4%EB%84%90-interrupt-6
리눅스 쉘 스크립트,런잇(ProgCoach4U),https://www.inflearn.com/course/%EB%A6%AC%EB%88%85%EC%8A%A4-%EC%89%98
인프라공방 - 그럴듯한 서비스 만들기,이동규,https://www.inflearn.com/course/%EC%9D%B8%ED%94%84%EB%9D%BC-%EA%B3%B5%EB%B0%A9-%EC%84%9C%EB%B9%84%EC%8A%A4-%EB%A7%8C%EB%93%A4%EA%B8%B0
리눅스 시스템 프로그래밍,김정인,https://www.inflearn.com/course/%EB%A6%AC%EB%88%85%EC%8A%A4-%EC%8B%9C%EC%8A%A4%ED%85%9C-%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D
[보안] Wazuh+ELK(SIEM)를 활용한 위협헌팅(Threat Hunting) 시스템 구축 및 운영실습 (기초),취업폭격기 제로미니,https://www.inflearn.com/course/wazuh-elk-%EC%9C%84%ED%98%91%ED%97%8C%ED%8C%85-%EC%8B%9C%EC%8A%A4%ED%85%9C-%EA%B5%AC%EC%B6%95-%EC%9A%B4%EC%98%81%EC%8B%A4%EC%8A%B5-%EA%B8%B0%EC%B4%88
리눅스 시스템 프로그래밍 - 이론과 실습,런잇(ProgCoach4U),https://www.inflearn.com/course/%EB%A6%AC%EB%88%85%EC%8A%A4-%EC%8B%9C%EC%8A%A4%ED%85%9C-%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D-%EC%9D%B4%EB%A1%A0%EA%B3%BC-%EC%8B%A4%EC%8A%B5
정보보호시스템 구축 이해,ISMS-P WIN,https://www.inflearn.com/course/%EC%A0%95%EB%B3%B4%EB%B3%B4%ED%98%B8%EC%8B%9C%EC%8A%A4%ED%85%9C-%EA%B5%AC%EC%B6%95-%EC%9D%B4%ED%95%B4
Linux Command-Line 명령어 기초 배우기,코드바나나,https://www.inflearn.com/course/%EB%A6%AC%EB%88%85%EC%8A%A4-%EC%BB%A4%EB%A7%A8%EB%93%9C%EB%9D%BC%EC%9D%B8-%EB%AA%85%EB%A0%B9%EC%96%B4-%EA%B8%B0%EC%B4%88
운영체제 공룡책 강의,주니온,https://www.inflearn.com/course/%EC%9A%B4%EC%98%81%EC%B2%B4%EC%A0%9C-%EA%B3%B5%EB%A3%A1%EC%B1%85-%EC%A0%84%EA%B3%B5%EA%B0%95%EC%9D%98
리눅스 커맨드라인 툴 (Full ver.),런잇(ProgCoach4U),https://www.inflearn.com/course/%EB%A6%AC%EB%88%85%EC%8A%A4-%EC%BB%A4%EB%A7%A8%EB%93%9C%EB%9D%BC%EC%9D%B8-%ED%88%B4
리눅스 시스템 디버깅,김정인,https://www.inflearn.com/course/%EB%A6%AC%EB%88%85%EC%8A%A4-%EC%8B%9C%EC%8A%A4%ED%85%9C-%EB%94%94%EB%B2%84%EA%B9%85
웹 서비스 해킹을 위한 버프스위트 완벽 활용 가이드,보안프로젝트,https://www.inflearn.com/course/boan_burpsuite
OpenStack을 활용한 클라우드 환경 구축하기,한국정보보호교육센터,https://www.inflearn.com/course/openstack-%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C-%ED%99%98%EA%B2%BD-%EA%B5%AC%EC%B6%95%ED%95%98%EA%B8%B0
@시코 - 리눅스(Linux) 실무 입문,시니어코딩,https://www.inflearn.com/course/%EC%B9%B4%EC%B9%B4%EC%98%A4%ED%8C%80%EC%9E%A5-%EB%A6%AC%EB%88%85%EC%8A%A4-%EC%8B%A4%EB%AC%B4
