과목명,강사,url
Objective-C 강좌 - 12개 앱 만들면서 배우는 iOS 아이폰 앱 개발,뭐하는거니?,https://www.inflearn.com/course/objective-c-%EA%B0%95%EC%A2%8C
[초급] QML 프로그래밍 1편,김대진,https://www.inflearn.com/course/qml-%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D-%EC%9E%85%EB%AC%B8
[iOS] Swift Modern Collection View & MVVM 패턴 가이드,덤벨로퍼,https://www.inflearn.com/course/modern-collection-view-mvvm-%ED%8C%A8%ED%84%B4
[LV1] Jetpack Compose - UI 연습하기,개복치개발자,https://www.inflearn.com/course/jetpack-compose-ui-%EC%97%B0%EC%8A%B5%ED%95%98%EA%B8%B0
예제로 뿌수는 코틀린 Kotlin 76제,김대현,https://www.inflearn.com/course/%EC%98%88%EC%A0%9C-%EC%BD%94%ED%8B%80%EB%A6%B0-kotlin
삼각형의 실전! CMake 초급,삼각형,https://www.inflearn.com/course/%EC%8B%A4%EC%A0%84-cmake-%EC%B4%88%EA%B8%89
[2024] React Native로 앱 개발 입문부터 마스터까지,정현우,https://www.inflearn.com/course/5%EA%B0%9C%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%EB%A1%9C-%EB%A7%88%EC%8A%A4%ED%84%B0%ED%95%98%EB%8A%94-%EC%8B%A4%EC%A0%84-react-native
Flutter로 SNS 앱 만들기,DEV MOO,https://www.inflearn.com/course/flutter-sns%EC%95%B1-%EB%A7%8C%EB%93%A4%EA%B8%B0
"Part2: 초중급 iOS 인스타그램 클론(SwiftUI, MVVM, Firebase, 2024)",애구마(agmma),https://www.inflearn.com/course/swiftui-%EC%9D%B8%EC%8A%A4%ED%83%80%EA%B7%B8%EB%9E%A8-%ED%81%B4%EB%A1%A0-part2
앱 개발 기초부터 실전까지 하나로 끝내는 Swift & iOS 마스터 클래스,KxCoding,https://www.inflearn.com/course/%EC%A0%9C%EB%A1%9C%EB%B2%A0%EC%9D%B4%EC%8A%A4%EC%97%90%EC%84%9C-%EC%8B%9C%EC%9E%91%ED%95%98%EB%8A%94-swift-%EC%98%A8%EB%9D%BC%EC%9D%B8%EB%B6%80%ED%8A%B8%EC%BA%A0%ED%94%84
[플러터플로우] 실전! 앱 출시를 위한 끝장 노하우!,피어낫프로덕,https://www.inflearn.com/course/%ED%94%8C%EB%9F%AC%ED%84%B0%ED%94%8C%EB%A1%9C%EC%9A%B0-%EC%8B%A4%EC%A0%84%EC%95%B1%EC%A0%9C%EC%9E%91-%ED%86%B5%ED%95%A9%EB%85%B8%ED%95%98%EC%9A%B0
