과목명,강사,url
파일 업로드 취약점 고급 공격 기법 PART2-1 : 파일 업로드 라이브러리 분석과 공격 방법론,크리핵티브,https://www.inflearn.com/course/%ED%8C%8C%EC%9D%BC%EC%97%85%EB%A1%9C%EB%93%9C-%EC%B7%A8%EC%95%BD%EC%A0%90-%EA%B3%A0%EA%B8%89%EA%B3%B5%EA%B2%A9%EA%B8%B0%EB%B2%95-part2-1
무작정 따라하며 원리를 깨우치는 웹 해킹 : WebGoat 편,크리핵티브,https://www.inflearn.com/course/%EC%9B%B9-%ED%95%B4%ED%82%B9-%EB%B3%B4%EC%95%88-webgoat
CPPG CORE CLASSROOM 학습,ISMS-P WIN,https://www.inflearn.com/course/cppg-core-classroom
24년 개인정보보호법 시행령 개정 해설 강의,ISMS-P WIN,https://www.inflearn.com/course/%EA%B0%9C%EC%9D%B8%EC%A0%95%EB%B3%B4%EB%B3%B4%ED%98%B8%EB%B2%95-%EC%8B%9C%ED%96%89%EB%A0%B9-%EA%B0%9C%EC%A0%95-%ED%95%B4%EC%84%A4
"블록체인, 가상자산거래소 보안",ISMS-P WIN,https://www.inflearn.com/course/%EB%B8%94%EB%A1%9D%EC%B2%B4%EC%9D%B8-%EA%B0%80%EC%83%81%EC%9E%90%EC%82%B0-%EB%B3%B4%EC%95%88
웹 개발자라면 꼭 알아야 할 보안 기초,Jason,https://www.inflearn.com/course/%EC%9B%B9-%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%95%8C%EC%95%84%EC%95%BC-%ED%95%A0-%EB%B3%B4%EC%95%88-%EA%B8%B0%EC%B4%88
"모의해킹 업무 취업 준비, 면접 대비 과정",보안프로젝트,https://www.inflearn.com/course/%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9-%EC%97%85%EB%AC%B4-%EC%B7%A8%EC%97%85%EC%A4%80%EB%B9%84-%EB%A9%B4%EC%A0%91%EB%8C%80%EB%B9%84
2022 ISMS-P 인증심사원 자격검정 Add-on 인증기준 결함 문제풀이,보안프로젝트,https://www.inflearn.com/course/isms-p-2022-%EB%AC%B8%EC%A0%9C%ED%92%80%EC%9D%B4
현직 CISO가 알려주는 정보보호/정보기술 채용 합격 비법,보안프로젝트,https://www.inflearn.com/course/%EC%A0%95%EB%B3%B4%EB%B3%B4%ED%98%B8-%EC%A0%95%EB%B3%B4%EA%B8%B0%EC%88%A0-%EC%B1%84%EC%9A%A9-%EB%B9%84%EB%B2%95
ISMS-P 인증심사원 자격검정 기본/실무 과정 시리즈 03 - T2. 인증기준2 (2/2),보안프로젝트,https://www.inflearn.com/course/isms-p-%EC%9D%B8%EC%A6%9D%EC%8B%AC%EC%82%AC%EC%9B%90-3
해킹 대회를 위한 시스템 해킹 프로토스타 완벽 풀이집,보안프로젝트,https://www.inflearn.com/course/%ED%94%84%EB%A1%9C%ED%86%A0%EC%8A%A4%ED%83%80
정보보안 전문가란? 무엇을 하고 어떻게 준비해야 할까.,보안프로젝트,https://www.inflearn.com/course/%EC%A0%95%EB%B3%B4%EB%B3%B4%EC%95%88-%EC%A0%84%EB%AC%B8%EA%B0%80
