과목명,강사,url
6일 만에 배우는 파이토치 딥러닝 기초,한기영,https://www.inflearn.com/course/6%EC%9D%BC%EB%A7%8C%EC%97%90-%EB%B0%B0%EC%9A%B0%EB%8A%94-%ED%8C%8C%EC%9D%B4%ED%86%A0%EC%B9%98-%EB%94%A5%EB%9F%AC%EB%8B%9D-%EA%B8%B0%EC%B4%88
캐글 Advanced 머신러닝 실전 박치기,권 철민,https://www.inflearn.com/course/%EC%BA%90%EA%B8%80-%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D-%EC%8B%A4%EC%A0%84
엑셀로 맛보는 딥러닝 - 깊게 쌓기,멋진,https://www.inflearn.com/course/%EC%97%91%EC%85%80%EB%A1%9C-%EB%A7%9B%EB%B3%B4%EB%8A%94-%EB%94%A5%EB%9F%AC%EB%8B%9D-%EA%B9%8A%EA%B2%8C%EC%8C%93%EA%B8%B0
AI로 돈 버는 법 - 사례로 알아보는 AI Transformation,AISchool,https://www.inflearn.com/course/ai-%EA%B8%B0%EC%97%85%EB%A6%AC%EB%B7%B0
혼자 공부하는 머신러닝+딥러닝,박해선,https://www.inflearn.com/course/%ED%98%BC%EC%9E%90%EA%B3%B5%EB%B6%80-%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D-%EB%94%A5%EB%9F%AC%EB%8B%9D
[PY 0204] 인공지능을 위한 파이썬 레벨3 - 함수,공대형아(신경식),https://www.inflearn.com/course/py-0204-%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EB%A0%88%EB%B2%A83
인공지능 활용 추천 시스템,YoungJea Oh,https://www.inflearn.com/course/%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5-%ED%99%9C%EC%9A%A9-%EC%B6%94%EC%B2%9C%EC%8B%9C%EC%8A%A4%ED%85%9C
생성형 AI 기초와 동작 원리 이해,YoungJea Oh,https://www.inflearn.com/course/%EC%83%9D%EC%84%B1%ED%98%95ai-%EB%8F%99%EC%9E%91%EC%9B%90%EB%A6%AC-%EC%9D%B4%ED%95%B4%EC%99%80%ED%99%9C%EC%9A%A9
시계열 분석과 예측,루비네 코딩,https://www.inflearn.com/course/%EC%8B%9C%EA%B3%84%EC%97%B4-%EB%B6%84%EC%84%9D-%EC%98%88%EC%B8%A1
스파크 머신러닝 완벽 가이드 - Part 1,권 철민,https://www.inflearn.com/course/%EC%8A%A4%ED%8C%8C%ED%81%AC-%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D-%EA%B0%80%EC%9D%B4%EB%93%9C1
강화학습 입문에서 Deep Q-learning/Policy Gradient까지,YoungJea Oh,https://www.inflearn.com/course/%EA%B0%95%ED%99%94%ED%95%99%EC%8A%B5-%EC%9E%85%EB%AC%B8%EC%97%90%EC%84%9C-deep-qlearning
핸즈온 머신러닝 2,박해선,https://www.inflearn.com/course/%ED%95%B8%EC%A6%88%EC%98%A8-%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D
실전도커: 도커로 나만의 딥러닝 클라우드 컴퓨터 만들기,다니엘,https://www.inflearn.com/course/%EB%8D%B0%EC%9D%B4%ED%84%B0-%EC%A0%84%EB%AC%B8%EA%B0%80-%EC%8B%A4%EC%9A%A9%EC%A0%81%EC%9D%B8-%EB%8F%84%EC%BB%A4
"파이썬으로 시작하는 머신러닝+딥러닝(sklearn을 이용한 머신러닝부터 TensorFlow, Keras를 이용한 딥러닝 개발까지)",아이리포,https://www.inflearn.com/course/%ED%8C%8C%EC%9D%B4%EC%8D%AC%EC%9C%BC%EB%A1%9C-%EC%8B%9C%EC%9E%91%ED%95%98%EB%8A%94-%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D-%EB%94%A5%EB%9F%AC%EB%8B%9D
[파이토치] 실전 인공지능으로 이어지는 딥러닝 - 기초부터 논문 구현까지,딥러닝호형,https://www.inflearn.com/course/%ED%8C%8C%EC%9D%B4%ED%86%A0%EC%B9%98-%EB%94%A5%EB%9F%AC%EB%8B%9D
Python을 이용한 개인화 추천시스템 | 추천알고리즘 | 추천인공지능,거친코딩,https://www.inflearn.com/course/%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EA%B0%9C%EC%9D%B8%ED%99%94-%EC%B6%94%EC%B2%9C%EC%8B%9C%EC%8A%A4%ED%85%9C
