과목명,강사,url
[C#과 유니티로 만드는 MMORPG 게임 개발 시리즈] Part5: 데이터베이스,Rookiss,https://www.inflearn.com/course/%EC%9C%A0%EB%8B%88%ED%8B%B0-mmorpg-%EA%B0%9C%EB%B0%9C-part5
Oracle PL/SQL 딱 이만큼..,IT늦공 김부장,https://www.inflearn.com/course/%EC%98%A4%EB%9D%BC%ED%81%B4-pl-sql-%EC%9D%B4%EB%A7%8C%ED%81%BC
mongoDB 기초부터 실무까지(feat. Node.js),김시훈,https://www.inflearn.com/course/%EB%AA%BD%EA%B3%A0%EB%94%94%EB%B9%84-%EA%B8%B0%EC%B4%88-%EC%8B%A4%EB%AC%B4
데이터베이스 중급(Modeling),이교준,https://www.inflearn.com/course/%EA%B4%80%EA%B3%84%ED%98%95%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4-rdbms
Real MySQL 시즌 1 - Part 2,백은빈,https://www.inflearn.com/course/real-mysql-part-2
하루만에 배우는 AWS REDIS,양동준,https://www.inflearn.com/course/%ED%95%98%EB%A3%A8%EB%A7%8C%EC%97%90-%EB%B0%B0%EC%9A%B0%EB%8A%94-aws-redis
미국 빅테크 29개의 실습으로 배우는 시스템 디자인 설계,미국달팽이,https://www.inflearn.com/course/%EB%AF%B8%EA%B5%AD-%EB%B9%85%ED%85%8C%ED%81%AC-%EC%8B%9C%EC%8A%A4%ED%85%9C-%EB%94%94%EC%9E%90%EC%9D%B8%EC%84%A4%EA%B3%84
빅데이터 클러스터 구축 패키지; 성공을 향한 로드맵,J.PHIL,https://www.inflearn.com/course/%EB%B9%85%EB%8D%B0%EC%9D%B4%ED%84%B0-%ED%81%B4%EB%9F%AC%EC%8A%A4%ED%84%B0-%EA%B5%AC%EC%B6%95-%ED%8C%A8%ED%82%A4%EC%A7%80
"BigQuery(SQL) 활용편(퍼널 분석, 리텐션 분석)",카일스쿨,https://www.inflearn.com/course/bigquery-%ED%99%9C%EC%9A%A9%ED%8E%B8
[백문이불여일타] 데이터 분석을 위한 고급 SQL 문제풀이,데이터리안,https://www.inflearn.com/course/sql-%EA%B3%A0%EA%B8%89-%EB%AC%B8%EC%A0%9C%ED%92%80%EC%9D%B4
10만 트래픽 서비스 운영에 적용한 MySQL운영 및 마이그레이션,July,https://www.inflearn.com/course/mysql-%EA%B3%B5%EA%B3%B5%EB%8D%B0%EC%9D%B4%ED%84%B0-%EB%A7%88%EC%9D%B4%EA%B7%B8%EB%A0%88%EC%9D%B4%EC%85%98-security
C# ADO.NET 데이터베이스 프로그래밍,이교준,https://www.inflearn.com/course/c-sharp-ado-net
실전! SQL 입문,신동현,https://www.inflearn.com/course/%EC%8B%A4%EC%A0%84-sql-%EC%9E%85%EB%AC%B8
Database - SQL,이교준,https://www.inflearn.com/course/%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4-sql
대규모 시스템 설계 Part 1,Jayce,https://www.inflearn.com/course/%EB%8C%80%EA%B7%9C%EB%AA%A8%EC%8B%9C%EC%8A%A4%ED%85%9C-%EC%84%A4%EA%B3%84-%ED%8C%8C%ED%8A%B81
"[C#/.NET 8.0]어서와, WinForm은 처음이지?",RAZOR,https://www.inflearn.com/course/%EC%96%B4%EC%84%9C%EC%99%80-winform
"SQL Server 컨설턴트가 알려주는, 쿼리 능력 레벨업(고급 T-SQL 쿼리)",김정선SQL,https://www.inflearn.com/course/sql-%EC%BF%BC%EB%A6%AC%EB%8A%A5%EB%A0%A5
다양한 사례로 익히는 SQL 데이터 분석,권 철민,https://www.inflearn.com/course/%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D-sql-%EC%82%AC%EB%A1%80%EC%A4%91%EC%8B%AC
CRUD SQL 자동 생성,이백라인,https://www.inflearn.com/course/%EC%97%90%EC%8A%A4%ED%81%90%EC%97%98-%EC%9E%90%EB%8F%99%EC%83%9D%EC%84%B1
SQLD 2주만에 따는 필승 합격법: 최신 개정판 기출문제로 초단기 공략,마소캠퍼스,https://www.inflearn.com/course/sqld-2%EC%A3%BC-%ED%95%84%EC%8A%B9-%ED%95%A9%EA%B2%A9%EB%B2%95
배달앱은 어떻게 내 주변의 맛집을 찾을까?,정승원,https://www.inflearn.com/course/%EB%B0%B0%EB%8B%AC%EC%95%B1%EC%9D%80-%EC%96%B4%EB%96%BB%EA%B2%8C-%EB%82%B4-%EC%A3%BC%EB%B3%80%EC%9D%98-%EB%A7%9B%EC%A7%91%EC%9D%84-%EC%B0%BE%EC%9D%84%EA%B9%8C
"[2024 신규] 어서와, Fast API는 처음이지?",RAZOR,https://www.inflearn.com/course/%EC%96%B4%EC%84%9C%EC%99%80-fastapi-%EC%B2%98%EC%9D%8C%EC%9D%B4%EC%A7%80
스파크 머신러닝 완벽 가이드 - Part 1,권 철민,https://www.inflearn.com/course/%EC%8A%A4%ED%8C%8C%ED%81%AC-%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D-%EA%B0%80%EC%9D%B4%EB%93%9C1
실전 jOOQ! Type Safe SQL with Java,설동민,https://www.inflearn.com/course/%EC%8B%A4%EC%A0%84-jooq-%ED%83%80%EC%9E%85%EC%84%B8%EC%9D%B4%ED%94%84-%EC%BF%BC%EB%A6%AC
"비전공자의 전공자 따라잡기 - 데이터베이스,SQL",제로초(조현영),https://www.inflearn.com/course/%EB%B9%84%EC%A0%84%EA%B3%B5%EC%9E%90-%EC%A0%84%EA%B3%B5%EC%9E%90-%EB%94%B0%EB%9D%BC%EC%9E%A1%EA%B8%B0-%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4-sql
데이터베이스 오라클(Oracle),개발자Park,https://www.inflearn.com/course/%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4-%EC%98%A4%EB%9D%BC%ED%81%B4-%EC%88%98%EC%97%85
"Google Authenticator, QR, Cron을 활용하여 자동화 만들기",July,https://www.inflearn.com/course/%EA%B4%80%EB%A6%AC%ED%98%95-api-%EC%9E%90%EB%8F%99%ED%99%94-%EB%A7%8C%EB%93%A4%EB%A9%B0-%ED%95%99%EC%8A%B5%ED%95%98%EA%B8%B0
따라하며 배우는 MySQL on Docker,김영헌,https://www.inflearn.com/course/mysql-docker
"백엔드 취업을 위한 프로젝트 구조 와 데이터베이스 다루기 [MySQL, Mongo]",July,https://www.inflearn.com/course/%EC%84%9C%EB%B2%84%EA%B0%9C%EB%B0%9C-%EB%B0%B1%EC%97%94%EB%93%9C-mysql-mongodb
대용랑 채팅 TPS에 대한 stateful 서비스 구축하기,July,https://www.inflearn.com/course/%EB%8C%80%EC%9A%A9%EB%9F%89-%EC%B1%84%ED%8C%85-%EC%84%9C%EB%B2%84-%EC%B2%98%EB%A6%AC-%EC%9B%B9%EC%86%8C%EC%BC%93-%ED%86%B5%EC%8B%A0-2
윤재성의 Oracle SQL Database 11g PL/SQL Developer,소프트캠퍼스,https://www.inflearn.com/course/oracle
SQL 베이스캠프,제주코딩베이스캠프,https://www.inflearn.com/course/sql-%EA%B8%B0%EC%B4%88-%EC%A0%9C%EC%A3%BC%EC%BD%94%EB%94%A9%EB%B2%A0%EC%9D%B4%EC%8A%A4%EC%BA%A0%ED%94%84
SQL 코딩테스트를 위한 첫 걸음,Gemma,https://www.inflearn.com/course/2023%EB%85%84-sql-%EC%BD%94%EB%94%A9%ED%85%8C%EC%8A%A4%ED%8A%B8-%EC%B2%AB%EA%B1%B8%EC%9D%8C
오라클 SQL 데이터베이스,나자바바,https://www.inflearn.com/course/%EC%98%A4%EB%9D%BC%ED%81%B4-sql-%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4
생활코딩 - MySQL,Egoing Lee,https://www.inflearn.com/course/mysql-%EA%B0%95%EC%A2%8C
시니어 백엔드 개발자가 알려주는 데이터베이스 개론 & SQL,쉬운코드,https://www.inflearn.com/course/%EB%B0%B1%EC%97%94%EB%93%9C-%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4-%EA%B0%9C%EB%A1%A0
개발자를 위한 ORACLE 입문 첫걸음,IT늦공 김부장,https://www.inflearn.com/course/%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%98%A4%EB%9D%BC%ED%81%B4-%EC%B2%AB%EA%B1%B8%EC%9D%8C
SQL 시작도 못한 분들 드루와요,땃지,https://www.inflearn.com/course/sql-%EC%8B%9C%EC%9E%91%EB%8F%84%EB%AA%BB%ED%95%9C-%EB%B6%84%EB%93%A4-%EB%93%9C%EB%A3%A8%EC%99%80%EC%9A%94
DATABASE 1&2 - MySQL,Egoing Lee,https://www.inflearn.com/course/database-2-mysql-%EA%B0%95%EC%A2%8C
"데이터베이스, 운영체제 기본 개념 정리",더코딩클럽,https://www.inflearn.com/course/%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4-%EC%9A%B4%EC%98%81%EC%B2%B4%EC%A0%9C-%EA%B8%B0%EB%B3%B8%EA%B0%9C%EB%85%90-%EC%A0%95%EB%A6%AC
생활코딩 - SQLite,Egoing Lee,https://www.inflearn.com/course/%EC%83%9D%ED%99%9C%EC%BD%94%EB%94%A9-%EC%97%90%EC%8A%A4%ED%81%90%EC%97%98%EB%9D%BC%EC%9D%B4%ED%8A%B8-%EC%8B%9C%ED%80%84%EB%9D%BC%EC%9D%B4%ED%8A%B8
윤파고의 정보처리기사 DB/프로그래밍 All-In-One,윤파고(yoonpago),https://www.inflearn.com/course/%EC%A0%95%EB%B3%B4%EC%B2%98%EB%A6%AC%EA%B8%B0%EC%82%AC-db-%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D
GraphQL 완전정복 (키오스크를 만들며 배우는 풀스택 과정) - [2024 부분 리뉴얼],Indie Coder,https://www.inflearn.com/course/graphql-%EC%99%84%EC%A0%84%EC%A0%95%EB%B3%B5
[7일완성]생각하는 데이터베이스모델링,박매일,https://www.inflearn.com/course/%EC%83%9D%EA%B0%81%ED%95%98%EB%8A%94-%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4-%EB%AA%A8%EB%8D%B8%EB%A7%81
GCP 빅쿼리(BigQuery) 입문자를 위한 강의,Sungmin Kim,https://www.inflearn.com/course/gcp-%EB%B9%85%EC%BF%BC%EB%A6%AC-%EC%9E%85%EB%AC%B8%EC%9E%90-%EA%B0%95%EC%9D%98
초보자를 위한 BigQuery(SQL) 입문,카일스쿨,https://www.inflearn.com/course/%EC%B4%88%EB%B3%B4%EC%9E%90%EB%A5%BC-%EC%9C%84%ED%95%9C-%EB%B9%85%EC%BF%BC%EB%A6%AC-sql-%EC%9E%85%EB%AC%B8
"세 시간만에 끝내는 쿠버네티스부터 마이크로서비스, CI/CD, 서비스 메시까지",dualjkorea,https://www.inflearn.com/course/%EC%BF%A0%EB%B2%84%EB%84%A4%ED%8B%B0%EC%8A%A4-%EB%A7%88%EC%9D%B4%ED%81%AC%EB%A1%9C%EC%84%9C%EB%B9%84%EC%8A%A4-3%EC%8B%9C%EA%B0%84
대기업 근무하며 경험한 Redis를 야무지게 사용하는 방법 [이론편],Hong,https://www.inflearn.com/course/redis-%EC%95%BC%EB%AC%B4%EC%A7%80%EA%B2%8C-%EC%82%AC%EC%9A%A9%ED%95%98%EB%8A%94-%EB%B0%A9%EB%B2%95-%EC%9D%B4%EB%A1%A0%ED%8E%B8
장래쌤과 함께하는 쉽고 재미있는 SQL 이야기,장래쌤,https://www.inflearn.com/course/%EC%9E%A5%EB%9E%98%EC%8C%A4-%ED%95%A8%EA%BB%98%ED%95%98%EB%8A%94-%EC%89%BD%EA%B3%A0%EC%9E%AC%EB%AF%B8%EC%9E%88%EB%8A%94-sql-%EC%9D%B4%EC%95%BC%EA%B8%B0
Strapi로 코딩없이 나만의 API 서버 만들기,체험코딩,https://www.inflearn.com/course/strapi-%EC%BD%94%EB%94%A9%EC%97%86%EC%9D%B4-%EB%82%98%EB%A7%8C%EC%9D%98-api-%EC%84%9C%EB%B2%84-%EB%A7%8C%EB%93%A4%EA%B8%B0
MySQL 성능 최적화,여정민,https://www.inflearn.com/course/mysql-%EC%84%B1%EB%8A%A5-%EC%B5%9C%EC%A0%81%ED%99%94
MySQL Geospatial Query를 통한 위치 탐색과 AWS를 활용한 이미지 캐싱,July,https://www.inflearn.com/course/couldfront-s3-%EC%9D%B4%EB%AF%B8%EC%A7%80-%ED%8C%8C%EC%9D%BC-%EC%BA%90%EC%8B%B1
도대체 왜? 도대체 어떻게! DB 설계와 데이터 다루기,소프트웨어알림장,https://www.inflearn.com/course/db-%EC%84%A4%EA%B3%84-%EB%8D%B0%EC%9D%B4%ED%84%B0-%EB%8B%A4%EB%A3%A8%EA%B8%B0
장래쌤과 함께하는 쉽고 재미있는 SQL Server 운영 이야기(기본편),장래쌤,https://www.inflearn.com/course/sql-server-%EC%9A%B4%EC%98%81-%EA%B8%B0%EB%B3%B8%ED%8E%B8
배워서 바로 쓰는 SQL 쿼리,Joe,https://www.inflearn.com/course/%EC%8B%A4%EB%AC%B4-sql
