과목명,강사,url
Jenkins를 이용한 CI/CD Pipeline 구축,Dowon Lee,https://www.inflearn.com/course/%EC%A0%A0%ED%82%A8%EC%8A%A4-ci-cd-%ED%8C%8C%EC%9D%B4%ED%94%84%EB%9D%BC%EC%9D%B8
Golang을 통한 백엔드 개발 및 환경 구축하기,July,https://www.inflearn.com/course/golang-%EB%B0%B1%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EB%B0%8F%ED%99%98%EA%B2%BD-%EA%B5%AC%EC%B6%95
따라하며 배우는 도커와 CI환경 [2023.11 업데이트],John Ahn,https://www.inflearn.com/course/%EB%94%B0%EB%9D%BC%ED%95%98%EB%A9%B0-%EB%B0%B0%EC%9A%B0%EB%8A%94-%EB%8F%84%EC%BB%A4-ci
[2024] 실무에서 사용중인 AWS 클라우드 IAM 이해와 보안,천강민,https://www.inflearn.com/course/%EC%8B%A4%EB%AC%B4%EC%97%90%EC%84%9C-%EC%82%AC%EC%9A%A9%EC%A4%91%EC%9D%B8-aws%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C-iam-part1
"롱런하는 슈퍼 개발자가 되기 위한 필수 지식, IT 인프라 기초 총정리",쉐어드IT,https://www.inflearn.com/course/%EB%88%84%EA%B5%AC%EB%82%98-%EC%89%BD%EA%B2%8C-%EC%9D%B4%ED%95%B4%ED%95%98%EB%8A%94-it-%EC%9D%B8%ED%94%84%EB%9D%BC-%EA%B8%B0%EC%B4%88
실리콘밸리 엔지니어와 함께하는 Redis,미쿡엔지니어,https://www.inflearn.com/course/%EC%8B%A4%EB%A6%AC%EC%BD%98%EB%B0%B8%EB%A6%AC-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4%EC%99%80-%ED%95%A8%EA%BB%98%ED%95%98%EB%8A%94-redis
실전! GitHub Actions으로 CI/CD 시작하기,이상원,https://www.inflearn.com/course/%EC%8B%A4%EC%A0%84-github-actions-ci-cd-%EC%8B%9C%EC%9E%91%ED%95%98%EA%B8%B0
카프카 완벽 가이드 - 커넥트(Connect) 편,권 철민,https://www.inflearn.com/course/%EC%B9%B4%ED%94%84%EC%B9%B4-%EC%99%84%EB%B2%BD%EA%B0%80%EC%9D%B4%EB%93%9C-%EC%BB%A4%EB%84%A5%ED%8A%B8
실리콘밸리 엔지니어와 함께하는 테라폼(Terraform),미쿡엔지니어,https://www.inflearn.com/course/%EC%8B%A4%EB%A6%AC%EC%BD%98%EB%B0%B8%EB%A6%AC-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4-%ED%85%8C%EB%9D%BC%ED%8F%BC
실리콘밸리 엔지니어와 함께하는 샐러리(Celery),미쿡엔지니어,https://www.inflearn.com/course/%EC%8B%A4%EB%A6%AC%EC%BD%98%EB%B0%B8%EB%A6%AC-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4-%EC%83%90%EB%9F%AC%EB%A6%AC-celery
비전공자도 이해할 수 있는 CI/CD 입문·실전,JSCODE 박재성,https://www.inflearn.com/course/%EB%B9%84%EC%A0%84%EA%B3%B5%EC%9E%90-ci-cd-%EC%9E%85%EB%AC%B8-%EC%8B%A4%EC%A0%84
리눅스 쉘 스크립트 마스터,홍영기,https://www.inflearn.com/course/%EB%A6%AC%EB%88%85%EC%8A%A4-%EC%89%98-%EC%8A%A4%ED%81%AC%EB%A6%BD%ED%8A%B8
CloudNet@와 함께하는 Amazon EKS 기본 강의,Ongja_CloudNet@,https://www.inflearn.com/course/amazon-eks-%EA%B8%B0%EB%B3%B8-%EA%B0%95%EC%9D%98
비전공자도 쉽게 구성하는 MSA 서비스 모니터링 대시보드,July,https://www.inflearn.com/course/%EB%B6%84%EC%82%B0%EB%90%9C-%EC%84%9C%EB%B9%84%EC%8A%A4-latency-%EC%B6%94%EC%A0%81%ED%95%98%EA%B8%B0
20년 경력자의 알기쉬운 컴퓨터네트워크,넷가이버,https://www.inflearn.com/course/%ED%8C%A8%ED%82%B7%ED%8A%B8%EB%A0%88%EC%9D%B4%EC%84%9C-%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC
"AWS 배포 완벽가이드 (feat. Lightsail, Docker, ECS)",김시훈,https://www.inflearn.com/course/aws-%EB%B0%B0%ED%8F%AC-%EC%99%84%EB%B2%BD%EA%B0%80%EC%9D%B4%EB%93%9C
애플리케이션 배포 자동화와 CI/CD,이준형(Foo),https://www.inflearn.com/course/%EC%95%A0%ED%94%8C%EB%A6%AC%EC%BC%80%EC%9D%B4%EC%85%98-%EB%B0%B0%ED%8F%AC-%EC%9E%90%EB%8F%99%ED%99%94-ci-cd
"중급, 활용편 #1 DevOps : Infrastructure as Code with AWS and 테라폼",송주영,https://www.inflearn.com/course/%EB%8D%B0%EB%B8%8C%EC%98%B5%EC%8A%A4-%ED%85%8C%EB%9D%BC%ED%8F%BC-%EC%A4%91%EA%B8%89-%ED%99%9C%EC%9A%A9
초보자를 위한 IT 인프라의 이해,보물상자,https://www.inflearn.com/course/it-%EC%9D%B8%ED%94%84%EB%9D%BC-%EC%9D%B4%ED%95%B4
쿠버네티스 어나더 클래스 (지상편) - Sprint3,일프로,https://www.inflearn.com/course/%EC%BF%A0%EB%B2%84%EB%84%A4%ED%8B%B0%EC%8A%A4-%EC%96%B4%EB%82%98%EB%8D%94-%ED%81%B4%EB%9E%98%EC%8A%A4-%EC%A7%80%EC%83%81%ED%8E%B8-sprint3
누구나 시작할 수 있는 네트워크 Step 3 (네트워크 만들기),존찬,https://www.inflearn.com/course/%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC-3-%EA%B5%AC%EC%B6%95
실리콘밸리 엔지니어에게 배우는 쿠버네티스 for SWE,미쿡엔지니어,https://www.inflearn.com/course/%EC%86%8C%ED%94%84%ED%8A%B8%EC%9B%A8%EC%96%B4-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4-%EC%BF%A0%EB%B2%84%EB%84%A4%ED%8B%B0%EC%8A%A4
Azure 기초 (AZ-900),클라우드메이트,https://www.inflearn.com/course/Azure-%EA%B8%B0%EC%B4%88-AZ-900
대용량 채팅 TPS 처리를 위한 웹소켓 통신 만들며 학습하기,July,https://www.inflearn.com/course/%EB%8C%80%EC%9A%A9%EB%9F%89-%EC%B1%84%ED%8C%85-%EC%84%9C%EB%B2%84-%EC%B2%98%EB%A6%AC-%EC%9B%B9%EC%86%8C%EC%BC%93-%ED%86%B5%EC%8B%A0
"풀스택을 위한 도커와 최신 서버 기술(리눅스, nginx, AWS, HTTPS, flask 배포) [풀스택 Part3]",잔재미코딩 DaveLee,https://www.inflearn.com/course/%EC%84%9C%EB%B2%84%EA%B8%B0%EC%88%A0-%ED%92%80%EC%8A%A4%ED%83%9D-3
카프카 완벽 가이드 - 코어편,권 철민,https://www.inflearn.com/course/%EC%B9%B4%ED%94%84%EC%B9%B4-%EC%99%84%EB%B2%BD%EA%B0%80%EC%9D%B4%EB%93%9C-%EC%BD%94%EC%96%B4
MS Azure 애저 클라우드 서비스 구축 이해와 보안,보안프로젝트,https://www.inflearn.com/course/%EC%95%A0%EC%A0%80-%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C-%EB%B3%B4%EC%95%88
"실습으로 배우는 그라파나 - {{ x86-64, arm64 }}",문성주,https://www.inflearn.com/course/%EC%8B%A4%EC%8A%B5%EC%9C%BC%EB%A1%9C-%EB%B0%B0%EC%9A%B0%EB%8A%94-%EA%B7%B8%EB%9D%BC%ED%8C%8C%EB%82%98
"실습으로 배우는 프로메테우스 - {{ x86-64, arm64 }}",문성주,https://www.inflearn.com/course/%EC%8B%A4%EC%8A%B5%EC%9C%BC%EB%A1%9C-%EB%B0%B0%EC%9A%B0%EB%8A%94-%ED%94%84%EB%A1%9C%EB%A9%94%ED%85%8C%EC%9A%B0%EC%8A%A4
아키텍처와 함께하는 Terraform (테라폼),숀김,https://www.inflearn.com/course/%EC%95%84%ED%82%A4%ED%85%8D%EC%B2%98%EC%99%80-%ED%95%A8%EA%BB%98%ED%95%98%EB%8A%94-terraform
실전 대비! DevOps 인터뷰 완벽 정복 - 고급편,Dewey Hong,https://www.inflearn.com/course/%EB%8D%B0%EB%B8%8C%EC%98%B5%EC%8A%A4-%EC%9D%B8%ED%84%B0%EB%B7%B0-%EC%99%84%EB%B2%BD-%EC%A0%95%EB%B3%B5
처음 시작하는 Infrastructure as Code: AWS & 테라폼,송주영,https://www.inflearn.com/course/%EB%8D%B0%EB%B8%8C%EC%98%B5%EC%8A%A4-%ED%85%8C%EB%9D%BC%ED%8F%BC-aws
작정하고 장고! Django로 Pinterest 따라만들기 : 바닥부터 배포까지,Hyong Sok Park,https://www.inflearn.com/course/%EC%9E%A5%EA%B3%A0-%ED%95%80%ED%84%B0%EB%A0%88%EC%8A%A4%ED%8A%B8
빅데이터 클러스터 구축 패키지; 성공을 향한 로드맵,J.PHIL,https://www.inflearn.com/course/%EB%B9%85%EB%8D%B0%EC%9D%B4%ED%84%B0-%ED%81%B4%EB%9F%AC%EC%8A%A4%ED%84%B0-%EA%B5%AC%EC%B6%95-%ED%8C%A8%ED%82%A4%EC%A7%80
누구나 시작할 수 있는 네트워크 Step 2 (서브넷팅),존찬,https://www.inflearn.com/course/%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC-step2-%EC%84%9C%EB%B8%8C%EB%84%B7%ED%8C%85
IT인을 위한 ELK 통합로그시스템 구축과 활용,보안프로젝트,https://www.inflearn.com/course/elk-%ED%86%B5%ED%95%A9%EB%A1%9C%EA%B7%B8%EC%8B%9C%EC%8A%A4%ED%85%9C-it%EB%B3%B4%EC%95%88
실습으로 배우는 AWS 핵심 서비스,호눅스,https://www.inflearn.com/course/aws-%ED%95%B5%EC%8B%AC-%EC%8B%A4%EC%8A%B5
대세는 쿠버네티스 [Helm편],일프로,https://www.inflearn.com/course/%EB%8C%80%EC%84%B8-%EC%BF%A0%EB%B2%84%EB%84%A4%ED%8B%B0%EC%8A%A4-%ED%97%AC%EB%A6%84
"[2024] 실무에서 사용하는 클라우드 보안 프로그래밍 (AWS, Python, Terraform)",천강민,https://www.inflearn.com/course/%EC%8B%A4%EB%AC%B4-%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C-%EB%B3%B4%EC%95%88-%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D
포트폴리오 초간단 배포하기,이준형(Foo),https://www.inflearn.com/course/%ED%8F%AC%ED%8A%B8%ED%8F%B4%EB%A6%AC%EC%98%A4-%EC%B4%88%EA%B0%84%EB%8B%A8-%EB%B0%B0%ED%8F%AC%ED%95%98%EA%B8%B0
스타트업 성장과 함께하는 AWS 클라우드 아키텍쳐 올인원,luckyvanilla3,https://www.inflearn.com/course/%EC%8A%A4%ED%83%80%ED%8A%B8%EC%97%85-with-aws-1
(2024년) 파이썬 알고리즘 트레이딩 파트3: 클라우드 거래 자동화,다니엘,https://www.inflearn.com/course/%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EC%95%8C%EA%B3%A0%EB%A6%AC%EC%A6%98-%ED%8A%B8%EB%A0%88%EC%9D%B4%EB%94%A9-%EA%B1%B0%EB%9E%98%EC%9E%90%EB%8F%99%ED%99%94-part3
AWS 콘솔로 배우는 AWS 기초 및 설명 그리고 고수가 되기 위한 준비,송주영,https://www.inflearn.com/course/aws-%EC%BD%98%EC%86%94-%EA%B8%B0%EC%B4%88-%EC%84%A4%EB%AA%85
누구나 시작할 수 있는 네트워크 Step 1 (네트워크 모델),존찬,https://www.inflearn.com/course/%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC-1-%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC-%EB%AA%A8%EB%8D%B8
[2024 리뉴얼] 스스로 구축하는 AWS 클라우드 네트워크 - 기본편,노마드 콘텐츠 랩,https://www.inflearn.com/course/aws-%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C-%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC-%EA%B8%B0%EB%B3%B8
AWS 클라우드 이해와 실습,기술노트with알렉,https://www.inflearn.com/course/%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C-%EC%9E%85%EB%AC%B8%EC%9E%90-%EC%9D%B4%ED%95%B4%EC%99%80%EC%8B%A4%EC%8A%B5
Docker를 이용한 MSA 애플리케이션 만들기,JOINC EDU,https://www.inflearn.com/course/docker-msa-%EC%95%A0%ED%94%8C%EB%A6%AC%EC%BC%80%EC%9D%B4%EC%85%98-%EB%A7%8C%EB%93%A4%EA%B8%B0
하루만에 배우는 aws 서버리스,양동준,https://www.inflearn.com/course/%ED%95%98%EB%A3%A8%EB%A7%8C%EC%97%90-%EB%B0%B0%EC%9A%B0%EB%8A%94-aws-%EC%84%9C%EB%B2%84%EB%A6%AC%EC%8A%A4
AWS Certified Cloud Practitioner 자격증 준비하기,코드바나나,https://www.inflearn.com/course/aws-%EC%9E%90%EA%B2%A9%EC%A6%9D-%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C-%EA%B8%B0%EC%B4%88
실무에서 꼭 필요한 서버 모니터링(Zabbix),유똥,https://www.inflearn.com/course/%EA%BC%AD-%ED%95%84%EC%9A%94%ED%95%9C-%EC%84%9C%EB%B2%84-%EB%AA%A8%EB%8B%88%ED%84%B0%EB%A7%81-zabbix
시스템엔지니어가 알려주는 리눅스 기초편 Bash Shell Script,그로스쿨,https://www.inflearn.com/course/%EB%A6%AC%EB%88%85%EC%8A%A4-bash-shellscript
10만 트래픽 서비스 운영에 적용한 MySQL운영 및 마이그레이션,July,https://www.inflearn.com/course/mysql-%EA%B3%B5%EA%B3%B5%EB%8D%B0%EC%9D%B4%ED%84%B0-%EB%A7%88%EC%9D%B4%EA%B7%B8%EB%A0%88%EC%9D%B4%EC%85%98-security
[2024] [DevOps] 빠르고 안전한 어플리케이션 배포 파이프라인(CI/CD) 만들기,천강민,https://www.inflearn.com/course/%EB%B9%A0%EB%A5%B4%EA%B3%A0-%EC%95%88%EC%A0%84%ED%95%9C-%EC%96%B4%ED%94%8C%EB%A6%AC%EC%BC%80%EC%9D%B4%EC%85%98-%ED%8C%8C%EC%9D%B4%ED%94%84%EB%9D%BC%EC%9D%B8
머신러닝 엔지니어 실무,Chris Song,https://www.inflearn.com/course/%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4-%EC%8B%A4%EB%AC%B4
인프라공방 - 그럴듯한 서비스 만들기,이동규,https://www.inflearn.com/course/%EC%9D%B8%ED%94%84%EB%9D%BC-%EA%B3%B5%EB%B0%A9-%EC%84%9C%EB%B9%84%EC%8A%A4-%EB%A7%8C%EB%93%A4%EA%B8%B0
ESXi 가상 인프라 구축과 보안 솔루션을 활용한 이상징후 탐지 모니터링,보안프로젝트,https://www.inflearn.com/course/it-%EB%B3%B4%EC%95%88-%EC%9D%B8%ED%94%84%EB%9D%BC-%EB%AA%A8%EB%8B%88%ED%84%B0%EB%A7%81
처음 만난 AWS,Inje Lee (소플),https://www.inflearn.com/course/%EC%B2%98%EC%9D%8C%EB%A7%8C%EB%82%9C-aws
[C#과 유니티로 만드는 MMORPG 게임 개발 시리즈] 번외편: AWS로 시작하는 서버 운영,Rookiss,https://www.inflearn.com/course/%EC%9C%A0%EB%8B%88%ED%8B%B0-mmorpg-%EA%B0%9C%EB%B0%9C-aws
초보를 위한 쿠버네티스 안내서,subicura,https://www.inflearn.com/course/%EC%BF%A0%EB%B2%84%EB%84%A4%ED%8B%B0%EC%8A%A4-%EC%9E%85%EB%AC%B8
지금 당장 데브옵스 - 테라폼 X AWS,지금 당장,https://www.inflearn.com/course/%EC%A7%80%EA%B8%88-%EB%8B%B9%EC%9E%A5-%EB%8D%B0%EB%B8%8C%EC%98%B5%EC%8A%A4-%ED%85%8C%EB%9D%BC%ED%8F%BC-aws
구글클라우드(GCP) 플랫폼 기초 활용법,보안프로젝트,https://www.inflearn.com/course/%EA%B5%AC%EA%B8%80-%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C-%ED%94%8C%EB%9E%AB%ED%8F%BC-%EA%B8%B0%EC%B4%88
CloudNet@와 함께하는 AWS 네트워킹 입문,Ongja_CloudNet@,https://www.inflearn.com/course/cloudneta-aws-%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%82%B9-%EC%9E%85%EB%AC%B8
IT 활용자를 위한 MS Azure 2023 클라우드 서비스 입문과 실습,이상희강사,https://www.inflearn.com/course/ms-azure-%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C-%EC%9E%85%EB%AC%B8-%EC%8B%A4%EC%8A%B5
데브옵스(DevOps)를 위한 쿠버네티스 마스터,보안프로젝트,https://www.inflearn.com/course/%EB%8D%B0%EB%B8%8C%EC%98%B5%EC%8A%A4-%EC%BF%A0%EB%B2%84%EB%84%A4%ED%8B%B0%EC%8A%A4-%EB%A7%88%EC%8A%A4%ED%84%B0
ElasticSearch Essential,강진우,https://www.inflearn.com/course/elasticsearch-essential
99% J형 엔지니어와 함께하는 AWS EKS와 GitLab CI/CD 기초 완벽 정복,Meiko,https://www.inflearn.com/course/aws-eks-gitlab-ci-cd-j
실전 대비! DevOps인터뷰 완전 정복 - 기본편,Dewey Hong,https://www.inflearn.com/course/%EB%8D%B0%EB%B8%8C%EC%98%B5%EC%8A%A4-%EC%9D%B8%ED%84%B0%EB%B7%B0-%EC%99%84%EB%B2%BD-%EC%A0%95%EB%B3%B5-%EA%B8%B0%EB%B3%B8%ED%8E%B8
아마존 클라우드 무료계정으로 시작하는 서버리스 애플리케이션 프로젝트,HP,https://www.inflearn.com/course/AWS-%EC%84%9C%EB%B2%84%EB%A6%AC%EC%8A%A4-%EC%9B%B9%EC%95%B1
